OSOBY
[[PERSON_1]]: Martin Svoboda
[[PERSON_2]]: Jana Nováková
[[PERSON_3]]: Petr Dvořák
[[PERSON_4]]: Pavel Horák
[[PERSON_5]]: Lucie Procházková
[[PERSON_6]]: Tomáš Černý
[[PERSON_7]]: Petra Černá
[[PERSON_8]]: Milan Novotný
[[PERSON_9]]: Karolína Svobodová
[[PERSON_10]]: Jan Dvořák
[[PERSON_11]]: Robert Kovář
[[PERSON_12]]: Eva Málková
[[PERSON_13]]: Petr Svoboda
[[PERSON_14]]: Alena Svobodová
[[PERSON_15]]: Eliška Svobodová
[[PERSON_16]]: Jakub Svoboda
[[PERSON_17]]: Martin Horáková
[[PERSON_18]]: Tomáš Veselý
[[PERSON_19]]: Jana Málková
[[PERSON_20]]: Han Nová
[[PERSON_21]]: Michaela Kratochvílová
[[PERSON_22]]: David Procházek
[[PERSON_23]]: Michal Horák
[[PERSON_24]]: Lenka Veselá
[[PERSON_25]]: Kateřina Dvořáková
[[PERSON_26]]: Ondřej Novák
[[PERSON_27]]: Karel Procházek
[[PERSON_28]]: Eva Svobodová
[[PERSON_29]]: Martin Krajíčková
[[PERSON_30]]: Han Dvořáková
[[PERSON_31]]: Jan Malý
[[PERSON_32]]: Petra Veselá
[[PERSON_33]]: Pavel Novák
[[PERSON_34]]: Milan Kratochvíl
[[PERSON_35]]: Robert Svoboda

ADDRESS
[[ADDRESS_1]]: Sídlo: Vinohradská 1234/89, 130 00 Praha 3
[[ADDRESS_2]]: Sídlo: Lékařská 567/12, 150 00 Praha 5
[[ADDRESS_3]]: Trvalé bydliště: Růžová 234/8, 160 00 Praha 6
[[ADDRESS_4]]: Trvalé bydliště: Dlouhá 67/9, 110 00 Praha 1
[[ADDRESS_5]]: Trvalé bydliště: Zahradní 45/12, 140 00 Praha 4
[[ADDRESS_6]]: Slunečná 789/34, 252 00 Říčany
[[ADDRESS_7]]: Bydliště: Mánesova 123/45, 120 00 Praha 2
[[ADDRESS_8]]: Adresa: Polská 78/3, 120 00 Praha 2
[[ADDRESS_9]]: Adresa: Anglická 45/12, 120 00 Praha 2

BANK
[[BANK_1]]: 2847563921/0800
[[BIRTH_ID_27]]: 781125/6789
[[BIRTH_ID_28]]: 705523/4512
[[BIRTH_ID_29]]: 830507/1234
[[BIRTH_ID_30]]: 890823/6745
[[BIRTH_ID_31]]: 760312/2314
[[BIRTH_ID_32]]: 740825/1923
[[BIRTH_ID_33]]: 770615/2314

DIC
[[DIC_1]]: CZ09876543
[[DIC_2]]: CZ12345678
[[DIC_3]]: CZ87654321

EMAIL
[[EMAIL_1]]: martin.svoboda@nixminds.cz
[[EMAIL_2]]: j.novakova@medicareplus.cz
[[EMAIL_3]]: petr.dvorak@email.cz
[[EMAIL_4]]: l.prochazkova@seznam.cz
[[EMAIL_5]]: tomas.cerny@gmail.com
[[EMAIL_6]]: p.cerna@centrum.cz
[[EMAIL_7]]: k.svobodova@techsolutions.cz
[[EMAIL_8]]: j.dvorak@techsolutions.cz
[[EMAIL_9]]: r.kovar@psycholog-private.cz
[[EMAIL_10]]: petr.svoboda.law@gmail.com
[[EMAIL_11]]: a.svobodova.md@centrum.cz
[[EMAIL_12]]: jana.malkova@email.cz
[[EMAIL_13]]: m.horak@medicareplus.cz
[[EMAIL_14]]: l.vesela@medicareplus.cz
[[EMAIL_15]]: k.dvorakova@nixminds.cz
[[EMAIL_16]]: o.novak@nixminds.cz
[[EMAIL_17]]: k.prochazka@medicareplus.cz
[[EMAIL_18]]: e.svobodova@medicareplus.cz
[[EMAIL_19]]: m.krajickova@gdpr-audit.cz
[[EMAIL_20]]: p.horak.md@medicareplus.cz
[[EMAIL_21]]: m.novotny@techsolutions.cz

ICO
[[ICO_1]]: 09876543
[[ICO_2]]: 12345678
[[ICO_3]]: 20237089
[[ICO_4]]: 87654321
[[ICO_5]]: 23456789
[[ICO_6]]: 28897696
[[ICO_7]]: 78945612
[[ICO_8]]: 65432198

PHONE
[[PHONE_1]]: : 123456789
[[PHONE_2]]: Telefon: +420 724 567 890
[[PHONE_3]]: : 987654321
[[PHONE_4]]: Telefon: +420 777 123 456
[[PHONE_5]]: Telefon: +420 605 789 123
[[PHONE_6]]: : 456789123
[[PHONE_7]]: Telefon: +420 733 456 789
[[PHONE_8]]: : 789123456
[[PHONE_9]]: Telefon: +420 606 234 567
[[PHONE_10]]: Telefon: +420 777 654 321
[[PHONE_11]]: Telefon: +420 734 567 890
[[PHONE_12]]: tel: +420 605 111 222
[[PHONE_13]]: tel: +420 606 333 444
[[PHONE_14]]: 789456123
[[PHONE_15]]: 123789456
[[PHONE_16]]: Telefon: +420 602 789 456
[[PHONE_17]]: Telefon: +420 725 678 901
[[PHONE_18]]: Telefon: +420 736 789 012
[[PHONE_19]]: Telefon: +420 776 234 567
[[PHONE_20]]: Telefon: +420 737 890 123
[[PHONE_21]]: Telefon: +420 603 456 789
[[PHONE_22]]: tel: 777 888 999
[[PHONE_23]]: Tel. +420 777 123 456
[[PHONE_24]]: +420 724 567 890

